ID #,Date In,ST,TT,Wheel,Color,ColorName,Brand,Model,Quality,Condition,Status,DateOut,Value,Remarks,,,
247,,,,,0000FF,Blue,Trek,820,,,,,,,,,
251,,,,,0000FF,Blue,Magna,Oasis,,,,,,,,,
253,,,,,0000FF,Blue,Magna,Oasis,,,Buildathon,07/10/13,,,,,
255,04/02/11,,,,0000FF,Blue,Huffy,Junk,D,D,Buildathon,07/10/13,,,,,
278,04/11/11,22,23,559,0000FF,Blue,Bianchi,Alante,B,B,,,,Needs F+R Brakes,,,
279,04/11/11,18,22,559,0000FF,Blue,Ironman,MTB,C,B,,,,Brakes & Hub need work,,,
281,04/11/11,12,20,559,0000FF,Blue,Roadmaster,Navigator,C,A,,,,Rear brake needs work,,,
283,04/11/11,,,,0000FF,Blue,Fuji,Odessa,B,A,Fix for Sale,07/10/13,,New!,,,
287,04/11/11,,,,0000FF,Blue,Scott,Mohaka,,,,,,,,,
293,4/18/2011,19.75,21,630,0000FF,Blue,Free Spirit,FS12,C,C,,,,Earn a Bike,,,
295,4/25/2011,,,559,0000FF,Blue,Huffy,Cruiser,C,C,,,,,,,
297,4/28/2011,19,26,559,0000FF,Blue,Schwinn,Aluminum Comp,C,C,As-is,05/21/11,50,Added used wheels; 50,,,
298,4/30/2011,18,22,559,0000FF,Blue,Christoper Patrick,Stratos,A,A,Earn a Bike,,,,,,
299,4/30/2011,,,,0000FF,Blue,Avigo,Wraith,C,B,,,,BMX,,,
307,05/05/11,,,630,0000FF,Blue,Folks,,,,As-is,07/28/11,,, FOR LESLIE POOL PARK FESTIVAL,,
309,,,,,0000FF,Blue,Schwinn,,,,,,,,,,
314,05/05/11,18,21,559,0000FF,Blue,Peugeot,Urban Exps,A,A,Fix for Sale,,,,,,
315,05/05/11,18,21,559,0000FF,Blue,Peugeot,Urban Exps,A,A,Fix for Sale,,,,,,
316,05/05/11,,,559,0000FF,Blue,Schwinn,Frontier,B,B,,,,, Cro-Mo,,
317,05/05/11,17.5,22,559,0000FF,Blue,Roadmaster,Mtn Sport,C,B,,,,,,,
318,05/05/11,18,23,559,0000FF,Blue,Bad Dog,Maddog,C,B,,,,,,,
319,05/05/11,18,23,559,0000FF,Blue,Magna,Fugative,B,B,,,,,,,
326,05/14/11,9,15,152,0000FF,Blue,Wired,Kent,B,B,,,,,,,
328,05/14/11,28,17,406,0000FF,Blue,Magna,Dagger,C,C,,,,,,,
336,05/09/11,,,559,0000FF,Blue,Quasar,,C,C,,,,,,,
338,05/09/11,,,559,0000FF,Blue,Mongoose,,C,C,,,,,,,
342,05/12/11,,,,0000FF,Blue,Nishiki,,B,D,,,,,,,
343,05/07/11,,,559,0000FF,Blue,Huffy,,,,,,,,,,
346,05/09/11,,,630,0000FF,Blue,Raleigh,Grand Prix,B,D,,,,,,,
348,05/16/11,,,507,0000FF,Blue,Specialized,Hard Rock,,,Youth,07/16/11,,,,,
355,05/20/11,,,622,0000FF,Blue,Ross,Chinera,B,A,Fix for Sale,05/21/11,115,Sold 115,,,
360,05/22/11,,,559,0000FF,Blue,Pacific,Solitude,C,B,Fix for Sale,,,,,,
363,05/20/11,4,9,,0000FF,Blue,Thomas and Friends,,B,A,Earn a Bike,06/05/11,,,,,
373,05/29/11,17.5,22,406,0000FF,Blue,Huffy,Tundra,C,D,Youth,07/28/11,,,,,
374,05/28/11,18,23,507,0000FF,Blue,,,D,D,Youth,07/28/11,,,,,
375,05/28/11,24,24,559,0000FF,Blue,Columbia,Formula 10,A,A,Earn a Bike,08/27/11,,,,,
376,05/28/11,17.5,17,,0000FF,Blue,Next,,C,C,,,,,,,
377,05/28/11,9,11,,0000FF,Blue,Paragon,Techno,C,D,,,,,,,
388,06/04/11,20,22,,0000FF,Blue,Select 12,Freedom 12,D,D,,,,,,,
389,06/04/11,22,22,,0000FF,Blue,Huffy,Cranbrook,A,B,Scrap,09/12/11,,,,,
390,06/04/11,20,23,,0000FF,Blue,Diamondback,Outlook,C,D,,,,,,,
393,06/04/11,17,22,,0000FF,Blue,Murray,Sabre,A,A,As-is,06/18/11,20,Cash 20,,,
398,06/04/11,,22,,0000FF,Blue,,,C,D,,,,,,,
399,06/04/11,18,22,,0000FF,Blue,Huffy,Surfside,B,B,Scrap,08/29/11,,,,,
404,06/27/11,,,,0000FF,Blue,,,,,Scrap,10/08/11,,,,,
407,06/04/11,22,23,,0000FF,Blue,Peugeot,,B,B,Earn a Bike,,,,,,
415,06/06/11,24,21,,0000FF,Blue,Giant,Boundors,,,,,,,,,
416,06/08/11,18,21,,0000FF,Blue,Huffy,Sential,B,B,,,,,,,
417,06/06/11,18,22,,0000FF,Blue,Mural,Phonix,,,,,,,,,
420,06/06/11,28,22,,0000FF,Blue,Diamondback,Outlook,,,,,,,,,
425,06/11/11,18,22,622,0000FF,Blue,Specialized,Crossroads,B,F,,,,Frame,,,
427,07/11/11,15,20.5,,0000FF,Blue,Murray,Ultra Terrain Extreme,B,F,,,,,,,
437,06/20/11,,,,0000FF,Blue,Kent,Co-pilot,C,C,,,,Tag-along,,,
439,06/27/11,,,,0000FF,Blue,Specialized,Hard Rock,,,Earn a Bike,,,,,,
